Time, IndividualID, AgeYears, Gender, IsAdult, Home_NodeID, From_NodeID, To_NodeID, MigrationType, Event
20075,18212,19.5644,M,T,87,559,87,local,Emigrating
20075,17767,21.0384,F,T,696,483,696,local,Emigrating
20075,23315,3.47397,M,F,467,456,467,local,Emigrating
20075,17664,21.3233,M,T,724,192,724,local,Emigrating
20076,23209,3.80548,F,F,614,614,20,local,Emigrating
20076,15764,27.3699,F,T,568,568,79,local,Emigrating
20076,9888,45.7452,M,T,356,356,572,local,Emigrating
20076,2606,65.2351,M,T,305,305,305,local,NonDiseaseDeaths
20076,24049,1.05753,M,F,142,142,1001,sea,Emigrating
20076,7188,54.2301,M,T,111,111,192,local,Emigrating
20077,10548,43.6986,M,T,395,650,395,local,Emigrating
20077,18443,18.8466,F,T,290,290,715,local,Emigrating
20077,24347,0.10411,M,F,439,192,439,local,Emigrating
20077,12058,39.074,F,T,65,65,602,local,Emigrating
20077,23209,3.80822,F,F,614,20,614,local,Emigrating
20078,6950,62.9148,F,T,743,743,743,local,NonDiseaseDeaths
20078,16949,23.6603,F,T,402,402,470,local,Emigrating
20078,7188,54.2356,M,T,111,192,111,local,Emigrating
20078,24227,0.50411,M,F,120,120,361,local,Emigrating
20078,21734,8.52329,M,F,63,63,1001,sea,Emigrating
20079,21268,9.93699,F,F,443,443,15,local,Emigrating
20079,10036,45.2603,F,T,345,345,267,local,Emigrating
20079,22622,5.71507,M,F,299,299,299,local,NonDiseaseDeaths
20079,11427,41.0329,F,T,1001,1001,1001,local,NonDiseaseDeaths
20080,9242,47.6904,M,T,357,357,650,local,Emigrating
20080,15273,28.9096,M,T,297,297,446,local,Emigrating
20080,15764,27.3808,F,T,568,79,568,local,Emigrating
20081,5607,60.8956,M,T,605,605,605,local,NonDiseaseDeaths
20081,12058,39.0849,F,T,65,602,65,local,Emigrating
20081,16393,25.3945,F,T,296,562,296,local,Emigrating
20081,20504,12.3973,F,F,391,391,186,local,Emigrating
20081,22383,6.46575,F,F,360,360,93,local,Emigrating
20081,19227,16.2493,F,T,319,319,13,local,Emigrating
20082,16599,24.7616,M,T,506,506,650,local,Emigrating
20082,16949,23.6712,F,T,402,470,402,local,Emigrating
20082,17953,20.4493,F,T,366,366,366,local,NonDiseaseDeaths
20082,15899,26.9534,M,T,509,1001,509,sea,Emigrating
20082,9807,46.0274,M,T,282,282,282,local,NonDiseaseDeaths
20082,8061,51.5534,F,T,276,276,276,local,NonDiseaseDeaths
20082,10036,45.2685,F,T,345,267,345,local,Emigrating
20083,18443,18.863,F,T,290,715,290,local,Emigrating
20083,16599,24.7644,M,T,506,650,506,local,Emigrating
20083,12585,37.4986,F,T,628,628,530,local,Emigrating
20083,14126,32.5616,F,T,511,511,198,local,Emigrating
20083,15273,28.9178,M,T,297,446,297,local,Emigrating
20083,17741,21.1288,F,T,445,445,445,local,NonDiseaseDeaths
20083,22736,5.34247,F,F,431,431,559,local,Emigrating
20083,24227,0.517808,M,F,120,361,120,local,Emigrating
20084,9242,47.7014,M,T,357,650,357,local,Emigrating
20084,9888,45.7671,M,T,356,572,356,local,Emigrating
20084,18085,20.0356,M,T,340,340,408,local,Emigrating
20085,12444,37.9808,M,T,379,379,734,local,Emigrating
20085,21124,10.5425,M,F,326,326,168,local,Emigrating
20085,15960,26.7589,F,T,298,298,1001,sea,Emigrating
20085,18516,18.6301,F,T,419,1001,419,sea,Emigrating
20085,11705,40.2247,M,T,152,152,20,local,Emigrating
20086,22736,5.35069,F,F,431,559,431,local,Emigrating
20086,12585,37.5069,F,T,628,530,628,local,Emigrating
20086,23566,2.68767,M,F,322,322,322,local,NonDiseaseDeaths
20086,24028,1.13151,F,F,214,214,559,local,Emigrating
20086,23202,3.86849,F,F,197,197,559,local,Emigrating
20086,18389,19.0466,M,T,52,52,325,local,Emigrating
20086,11705,40.2274,M,T,152,20,152,local,Emigrating
20086,19227,16.263,F,T,319,13,319,local,Emigrating
20087,12702,37.1178,M,T,612,612,559,local,Emigrating
20087,22234,7.01918,F,F,500,500,3,local,Emigrating
20087,18085,20.0438,M,T,340,408,340,local,Emigrating
20087,18389,19.0493,M,T,52,325,52,local,Emigrating
20088,24028,1.13699,F,F,214,559,214,local,Emigrating
20088,18801,17.6767,F,T,449,449,734,local,Emigrating
20088,21125,10.537,F,F,171,171,171,local,NonDiseaseDeaths
20088,14115,32.6164,M,T,170,170,599,local,Emigrating
20089,15122,29.3671,M,T,701,701,186,local,Emigrating
20089,17544,21.7397,F,T,697,697,243,local,Emigrating
20089,14115,32.6192,M,T,170,599,170,local,Emigrating
20089,23202,3.87671,F,F,197,559,197,local,Emigrating
20089,20424,12.6849,F,F,309,309,428,local,Emigrating
20089,14126,32.5781,F,T,511,198,511,local,Emigrating
20089,21124,10.5534,M,F,326,168,326,local,Emigrating
20089,22383,6.48767,F,F,360,93,360,local,Emigrating
20090,13034,36.0849,M,T,609,609,235,local,Emigrating
20090,20504,12.4219,F,F,391,186,391,local,Emigrating
20090,21268,9.96712,F,F,443,15,443,local,Emigrating
20091,16253,25.8438,F,T,429,429,15,local,Emigrating
20091,24114,0.890411,M,F,361,361,361,local,NonDiseaseDeaths
20091,14455,31.5507,M,T,329,329,329,local,NonDiseaseDeaths
20091,21873,8.10685,M,F,272,272,526,local,Emigrating
20091,13034,36.0877,M,T,609,235,609,local,Emigrating
20092,18801,17.6877,F,T,449,734,449,local,Emigrating
20092,9336,47.4301,M,T,429,429,20,local,Emigrating
20092,20142,13.5288,M,F,384,384,192,local,Emigrating
20092,20682,11.9014,M,F,287,287,599,local,Emigrating
20092,22688,5.50137,F,F,102,102,192,local,Emigrating
20093,23408,3.18356,F,F,663,663,663,local,NonDiseaseDeaths
20093,20682,11.9041,M,F,287,599,287,local,Emigrating
20093,21873,8.11233,M,F,272,526,272,local,Emigrating
20093,23181,3.96164,M,F,425,425,650,local,Emigrating
20093,15960,26.7808,F,T,298,1001,298,sea,Emigrating
20093,22688,5.50411,F,F,102,192,102,local,Emigrating
20093,20142,13.5315,M,F,384,192,384,local,Emigrating
20093,15122,29.3781,M,T,701,186,701,local,Emigrating
20093,22234,7.03562,F,F,500,3,500,local,Emigrating
20094,12702,37.137,M,T,612,559,612,local,Emigrating
20094,20424,12.6986,F,F,309,428,309,local,Emigrating
20094,9336,47.4356,M,T,429,20,429,local,Emigrating
20094,16253,25.8521,F,T,429,15,429,local,Emigrating
20095,8414,50.2932,M,T,730,730,15,local,Emigrating
20095,18266,19.463,M,T,583,583,154,local,Emigrating
20095,23123,4.16164,F,F,521,521,559,local,Emigrating
20095,21479,9.32603,M,F,304,304,1001,sea,Emigrating
20096,23481,2.9589,F,F,124,124,20,local,Emigrating
20097,19716,14.7534,F,F,668,668,668,local,NonDiseaseDeaths
20097,17220,22.9068,F,T,569,569,650,local,Emigrating
20097,23945,1.43288,F,F,443,443,443,local,NonDiseaseDeaths
20097,3440,62.1888,F,T,390,390,529,local,Emigrating
20097,17544,21.7616,F,T,697,243,697,local,Emigrating
20097,16786,24.2411,M,T,242,242,713,local,Emigrating
20097,20209,13.337,F,F,47,47,173,local,Emigrating
20097,8414,50.2986,M,T,730,15,730,local,Emigrating
20098,9942,45.6192,M,T,708,708,52,local,Emigrating
