NodeID,Latitude,Longitude,Altitude
0,-16.500518,27.958743,659.4917603
1,-16.46991,27.984363,651.5982056
2,-16.511033,27.941818,644.7781372
3,-16.438905,27.925958,821.0294189
4,-16.47007,27.983245,652.2
5,-16.539297,27.948982,674.0626831
6,-16.504807,27.954277,642.5980225
7,-16.50802,27.950728,636.0897827
8,-16.438065,27.931118,824.9196777
9,-16.505355,27.952398,641.5947876
10,-16.505637,27.949675,639.2277222
11,-16.465965,27.996417,633.0786743
12,-16.430073,27.955813,799.0529175
13,-16.538898,27.948448,670.7238159
14,-16.496058,27.998618,613.8057251
15,-16.556728,27.911478,684.4985352
16,-16.53769,27.947405,670
17,-16.470055,27.981462,657.0738525
18,-16.47005,27.981472,657.0487061
19,-16.492433,27.982538,629.9360352
20,-16.557257,27.89506,692.7149658
21,-16.50374,27.957538,641.8818359
22,-16.497127,27.98301,620.2024536
23,-16.496285,27.981722,624.6636963
24,-16.427387,27.96076,827.7425537
25,-16.494227,27.983848,624.8014526
26,-16.4299,27.956375,801.3
27,-16.509357,27.96703,631.4464722
28,-16.503773,27.955455,642.8880615
29,-16.482343,28.016048,613.3035889
30,-16.505635,27.949698,639.2937012
31,-16.543202,27.95312,685.9315186
32,-16.425518,27.941558,805.87146
33,-16.482035,28.017583,612.3075562
34,-16.422788,27.968392,800.99823
35,-16.494055,27.980388,627.7092896
36,-16.488008,28.014628,614.1429443
37,-16.520327,27.919952,670.6828003
38,-16.493333,27.992185,623.9544067
39,-16.46598,27.996423,633.081604
40,-16.468643,27.983628,653.7105713
41,-16.495167,27.987338,620.5151978
42,-16.485407,28.014008,614.7421265
43,-16.496262,27.981213,624.6575317
44,-16.4945,27.991743,618.5532227
45,-16.48927,27.975188,636.5559692
46,-16.50972,27.955725,636.3
47,-16.5421,27.953022,681.1731567
48,-16.49363,28.001793,611.7902832
49,-16.540652,27.946125,673.1756592
50,-16.430075,27.948863,805.921936
51,-16.520332,27.920295,670.1687012
52,-16.541242,27.946447,675.7549438
53,-16.496733,27.983202,622.12677
54,-16.496878,27.981745,623.8720703
55,-16.538852,27.949908,672.8963013
56,-16.43034,27.947902,800.9260864
57,-16.440495,27.93056,843.5
58,-16.494162,27.99423,618.555542
59,-16.494255,27.977883,628.8820801
60,-16.49635,27.982493,623.5408325
61,-16.509697,27.939773,648.7785034
62,-16.466002,27.996375,633.1144409
63,-16.496632,27.979068,622.0563965
64,-16.4971,27.982673,620.8850708
65,-16.484453,28.01872,613.6549683
66,-16.508603,27.939745,653.696106
67,-16.542812,27.951505,681.9068604
68,-16.424495,27.948918,789.4069214
69,-16.494752,28.001958,612.5093994
70,-16.49341,27.983345,618.8
71,-16.495262,27.982342,625
72,-16.503725,27.955453,642.897583
73,-16.43087,27.94894,794
74,-16.54091,27.945155,673.9
75,-16.467502,27.996547,633.5352173
76,-16.508348,27.954433,637.593811
77,-16.421032,27.957,807.2449341
78,-16.519275,27.9211,657.6
79,-16.556003,27.922545,687.0953979
80,-16.502615,27.954735,648.1
81,-16.438835,27.929705,813.5
82,-16.430103,27.94842,804.9917603
83,-16.476248,27.97903,660.9872437
84,-16.468868,27.98415,653.0603638
85,-16.468687,27.983952,653.3062744
86,-16.466125,27.992927,639.8126221
87,-16.491245,27.9834,629.5
88,-16.470067,27.994313,637.7796021
89,-16.464728,27.994762,638.677002
90,-16.480153,28.016303,612.4645386
91,-16.429887,27.956402,800.6260376
92,-16.470102,27.99442,637.5217896
93,-16.422633,27.968165,798.6255493
94,-16.494303,27.983022,625
95,-16.494078,27.977137,630.2584839
96,-16.493677,27.978097,628.5635986
97,-16.465975,27.996447,633.0687866
98,-16.510347,27.941973,644.6168213
99,-16.46611,27.992933,639.8257446
100,-16.430913,27.948657,802.2219238
101,-16.477898,27.980653,656.512085
102,-16.475547,27.978778,662.7332153
103,-16.497797,27.986988,619.9713745
104,-16.50083,27.957978,658.7178955
105,-16.492973,27.992185,624.3713989
106,-16.489018,28.013778,614.8756714
107,-16.497098,27.9827,620.8314209
108,-16.419798,27.95482,833.3248901
109,-16.503055,27.954132,643.5237427
110,-16.496327,27.982462,623.5859985
111,-16.477747,27.980447,657.3230591
112,-16.430873,27.948937,802.9308472
113,-16.518567,27.922623,662.5963135
114,-16.493072,27.982752,627.4824219
115,-16.470188,27.983802,652.7554932
116,-16.51236,28.000995,628.1
117,-16.539052,27.9489,672.9487305
118,-16.491822,27.977182,629.8820801
119,-16.539743,27.950098,675.0032959
120,-16.542758,27.951382,681.5422974
121,-16.430953,27.950527,804.3096924
122,-16.494617,27.983938,624.4093018
123,-16.503922,27.950793,642.5448608
124,-16.419105,27.954867,842.0010986
125,-16.50608,27.965553,633.4902344
126,-16.467858,27.997727,631.3347168
127,-16.495102,27.987722,620.9801636
128,-16.439245,27.929192,821.6347046
129,-16.429875,27.956397,800.4724731
130,-16.497105,27.979222,620.5007935
131,-16.481383,28.01801,611.708252
132,-16.511297,27.94177,645.1186523
133,-16.504533,27.95424,642.4881592
134,-16.432007,27.950115,803.826355
135,-16.429887,27.956398,800.5997314
136,-16.42994,27.951222,806.1924438
137,-16.502702,27.955167,644.6668701
138,-16.422383,27.953535,797.8013306
139,-16.439628,27.929072,823.7338257
140,-16.493155,27.98044,626.1
141,-16.492508,27.993908,621.9572144
142,-16.503755,27.955468,642.8649902
143,-16.468915,27.983237,653.8614502
144,-16.501748,27.955713,647.9517212
145,-16.48671,28.015667,614
146,-16.4675,27.996548,633.5366821
147,-16.496392,27.992072,615.2771606
